antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.027253985015336653,0.7057291666666669,18.3222401272846,0.025766503963565515,3.2673383377142824
PINK REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.027253985015336653,0.7075718015665797,18.322240127284598,0.025766503963565515,3.287582430015302
"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.027253985015336653,0.9048414023372289,17.728651200276325,0.025716700271705854,9.972421373744128
GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.027253985015336653,0.5339901477832513,17.728651200276325,0.025716700271705854,2.0812431676604954
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.031829838588022324,0.8263707571801566,16.191167732060862,0.029863961937569582,5.465448203401851
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.031829838588022324,0.6236453201970442,16.19116773206086,0.029863961937569582,2.554724112702738
"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.027253985015336653,0.8562401263823066,15.973778042556221,0.02554781475663339,6.583180132584272
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.027253985015336653,0.5084427767354597,15.97377804255622,0.02554781475663339,1.9695980764602448
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.027455121436114043,0.7203166226912929,15.689963499958097,0.02570526896283153,3.4113239804897675
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.027455121436114043,0.5980284775465499,15.689963499958097,0.02570526896283153,2.3929173947243343
"ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",GREEN REGENCY TEACUP AND SAUCER,0.020515914919294012,0.7771428571428572,15.22664039408867,0.019168545152338803,4.258161174739846
GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.020515914919294012,0.4019704433497537,15.22664039408867,0.019168545152338803,1.6280145921656703
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.020515914919294012,0.8015717092337918,14.953899232206771,0.019143970746023933,4.769466794318595
ROSES REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",0.020515914919294012,0.38273921200750466,14.95389923220677,0.019143970746023933,1.5785959669090848
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.03012017901141449,0.7819843342036553,14.588482602540426,0.028055524322367572,4.340959354484574
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.03012017901141449,0.5619136960600375,14.588482602540426,0.028055524322367572,2.1947327884345262
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.03861819278925931,0.7566502463054186,14.115856893316941,0.03588239055768931,3.8890408948209174
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.03861819278925931,0.7204502814258911,14.115856893316941,0.03588239055768931,3.394607721546198
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.02705284859455926,0.6329411764705883,13.985890196078433,0.025118552799634118,2.6010662164305254
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.02705284859455926,0.5977777777777779,13.985890196078433,0.025118552799634118,2.379924473829624
